step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
18,7,11397.28911103869,3102.1750350317743,4347.925246906612,614.9325006887685,5704.508582094438,168838.00039190456,1.2837576831678668,0,1.0,0.0
19,8,7237.579566973189,2142.742436482222,1076.1742920383113,614.9325006887685,4844.237414538593,171682.9781880943,1.3053894372506145,0,1.0,0.0
20,9,4686.959366319282,1503.3308097723348,5160.995483849838,357.05758104509135,7351.713349382187,165003.50194990882,1.4365759264752436,0,1.0,0.0
21,10,11204.721811221238,5127.307070502196,176.41890696220798,368.9595004132611,5677.784543985737,175112.36788027105,1.5245871096799049,0,1.0,0.0
22,11,11756.441819171423,1680.6760696759447,-2.8169324891350698,357.05758104509135,4817.004447686464,183378.240672876,1.5965525754114616,0,1.0,0.0
23,12,6934.258512993023,899.1192489028908,5535.742497364001,368.9595004132611,7745.133305545057,177561.7831314496,1.545912541820446,0,1.0,0.0
24,1,8980.043883774033,1647.3697267430834,1120.727526730101,368.9595004132611,4719.5641030408015,181979.94561178252,1.5843785488051294,0,1.0,0.0
25,2,1858.7023203967335,2157.53444737682,5165.363762090681,333.25374230875195,6227.593094563566,174269.97178059304,1.5172529262046872,0,1.0,0.0
26,3,2660.2295381198064,2440.801918849116,2393.8485631007643,368.9595004132611,4653.081802864005,171955.11337118392,1.4970989911375063,0,1.0,0.0
27,4,4743.89234153583,3444.1173248789564,4423.232404117065,595.0959684084856,5475.848281279037,169648.94638379413,1.2899237011573355,0,1.0,0.0
28,5,5206.553549776589,1745.0309806488222,697.3095076021273,614.9325006887685,4990.166566286616,170298.12233964202,1.2948597026446378,0,1.0,0.0
29,6,315.47789155692124,4087.288836527354,-3.382038495357847,595.0959684084856,5659.259109143371,168449.9160286698,1.280806888430524,0,1.0,0.0
30,7,4821.055449310283,1762.767300626554,4332.963537874195,614.9325006887685,7180.795412329681,162905.04732771398,1.2386465466799332,0,1.0,0.0
31,8,6967.4940066423505,1687.8390895529883,3.1944025393750053,614.9325006887685,5192.123708235453,165750.12981244572,1.2602790967607371,0,1.0,0.0
32,9,4211.406019158673,2405.523650356423,2444.2726224958315,357.05758104509135,4594.421630206546,164971.30764821335,1.4362956320679197,0,1.0,0.0
33,10,13486.557477394017,2495.124744805624,933.1304859531228,368.9595004132611,5086.485668476748,174564.41421556982,1.5198164409714758,0,1.0,0.0
