mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,7294.539619100622,4015.6208404498175,-4.03300927800592,16865.0197446965,5207.391575656634,120760.37214847532,1.0513803734502314,1.0,0.0
2,3576.7714750610835,2533.6257754840044,377.37053527130047,6224.70382955276,4420.4567189823565,115848.238315214,1.0086136859005939,1.0,0.0
3,10273.879805002045,4090.391719994601,4209.686895879277,1547.2495178620632,4474.280351054627,119981.29307541468,1.044597449282238,1.0,0.0
4,10240.110378650066,7587.6849967564485,1.8410776307573542,595.0959684084856,5781.163529088186,131430.98787569374,0.9993339183129453,0.85,15.0
5,8188.192874525425,1723.7532732383406,228.18395655835047,614.9325006887685,4858.98311384988,135640.8344523605,1.0313434355733322,1.0,0.0
6,4980.411049100027,1845.2733430242515,3757.641406907409,5276.51758655524,6005.484226694337,127426.87562432777,0.968888699493568,1.0,0.0
7,4292.113196265568,6834.209514176589,-2.187336023300304,614.9325006887685,6514.461867704358,131425.99130240013,0.999295926928658,1.0,0.0
8,6892.1364335625585,1583.0836178467434,882.8704782747081,614.9325006887685,4614.90044387742,133788.50793096854,1.0172592933893874,1.0,0.0
9,6230.823328510114,3976.083960968186,1476.3533058319008,19209.697860225933,4922.631368114622,118386.73268627436,1.0307146707879649,1.0,0.0
10,6973.204597930566,4355.024909084692,764.5308819681668,3903.8295527596665,5367.177194549899,119679.42456401189,1.0419692805990437,1.0,0.0
11,47.53131585987996,1834.0348696822184,2.118082753426279,6248.5076682890995,4777.746955509437,110532.61804300202,0.9623341098485552,1.0,0.0
12,4181.580671802452,3550.9948875822884,3311.6367792053934,368.9595004132611,4512.755945786028,110071.84137698208,0.9583224333807022,1.0,0.0
1,5052.556969531859,2875.649480425782,2240.2001259076933,368.9595004132611,4632.47704212344,110758.41115849532,0.964299940574863,1.0,0.0
2,3423.772967327008,4503.644224442702,585.57273548987,333.25374230875195,5046.127549170013,112720.8743232964,0.9813858042434019,1.0,0.0
3,1840.4063210429595,4568.270380359056,3894.627235265827,368.9595004132611,4707.646987411945,110158.31730160739,0.9590753218349977,1.0,0.0
4,10943.794989260387,4634.784485291355,57.153872023292934,595.0959684084856,5188.214209781684,119896.43272594568,0.9116310684743935,0.85,15.0
5,7054.291627146718,2978.545034195893,8811.704940865762,614.9325006887685,9716.19957348238,110786.43237225138,0.8423632915487566,0.85,15.0
6,347.28692408592894,4766.504378403886,3722.301310510142,595.0959684084856,4014.834174591475,107567.99222123109,0.817891920991786,0.85,15.0
7,11397.28911103869,2366.740891398833,3317.160494940952,614.9325006887685,5704.508582094438,111695.42064594445,0.849274772835874,1.0,0.0
8,7237.579566973189,1634.7614454016148,821.0451294579398,614.9325006887685,4844.237414538593,114287.54661363395,0.868983971114912,1.0,0.0
9,4686.959366319282,1231.2611331292283,4226.969277960423,357.05758104509135,7351.713349382187,108270.02690469475,0.942635231204542,1.0,0.0
10,11204.721811221238,3911.7738907315215,134.5951909252908,368.9595004132611,5677.784543985737,117205.18337132323,1.0204277054706021,1.0,0.0
11,11756.441819171423,1376.5108175266942,-2.307129918219289,2713.637615942695,4817.004447686464,122809.80107431041,1.0692233902534172,1.0,0.0
12,6934.258512993023,707.5916095772845,4492.910916547757,8616.989622554851,7745.133305545057,109596.61735223306,0.9541849733536759,1.0,0.0
1,8980.043883774033,1238.617114220062,852.5437509158073,368.9595004132611,4719.5641030408015,113874.2109958573,0.9914271408171252,1.0,0.0
2,1858.7023203967335,1697.9430417052645,4065.0537322268647,333.25374230875195,6227.593094563566,106804.95578886013,0.9298798298299629,1.0,0.0
3,2660.2295381198064,1862.1598213871912,1826.3377205116994,368.9595004132611,4653.081802864005,104478.96612457816,0.909628982317938,1.0,0.0
4,4743.89234153583,2627.618756361844,3374.6145477821556,595.0959684084856,3011.7165547034706,104869.05015158173,0.7973705477802168,0.55,44.99999999999999
5,5206.553549776589,1331.3356377442833,531.9980036476336,614.9325006887685,4241.641581343623,106018.36725342258,0.8061093663901246,0.85,15.000000000000014
6,315.47789155692124,3118.31328507491,-2.580256985136657,595.0959684084856,4810.3702427718645,104049.2724758592,0.7911373781901038,0.85,15.000000000000014
7,4821.055449310283,1344.8671997230122,3305.745765542568,614.9325006887685,7180.795412329681,99113.72144633147,0.7536099759458452,1.0,0.0
8,6967.4940066423505,1240.6228038055124,2.3559564640017925,614.9325006887685,5192.123708235453,101512.42609139111,0.7718484975499746,1.0,0.0
