mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
1,72938.86525211185,4015.6208404498175,-4.03300927800592,17851.23966942149,5207.391575656634,185418.47785676154,1.6143155658209583,1.0
2,35764.51239965211,3219.4159362844075,479.5154544492543,55537.19008264461,4420.4567189823565,163965.24393662185,1.4275365033737213,1.0
3,102729.59965166794,4977.947729669017,5123.6033574961475,49586.77685950412,4474.280351054627,212488.13074990397,1.8499930588728009,1.0
4,102391.93562255245,10284.039747897186,2.5468663506908342,83305.78512396694,6801.368857750807,235054.4052722852,1.7872333125855835,1.0
5,81874.5977017462,2317.600097566232,306.7951592562895,105123.96694214875,4858.98311384988,208956.85785634269,1.5888009281147455,1.0
6,49799.65143505857,2387.8958290171577,4733.405459272733,83305.78512396694,6005.484226694337,167099.73031048442,1.2705407677384954,1.0
7,42917.289152762765,7805.725799373613,-2.498276529920986,35702.479338842975,6514.461867704358,175608.3023326034,1.3352355916574485,1.0
8,68915.19367589246,1808.1266915740562,1008.3748318629805,47603.305785123965,4614.90044387742,193105.04163920556,1.4682718362415956,1.0
9,62302.65471146318,4918.064180284971,1823.4012851941516,59504.13223140493,4922.631368114622,194075.59564624,1.689687341947266,1.0
10,69725.80273771605,5784.814703064534,1015.5325352397922,61487.603305785095,5367.177194549899,201715.90005144573,1.756206399117297,1.0
11,475.2706029152803,2436.1633059637097,2.8134664003446233,59504.13223140493,4777.746955509437,140342.64130701,1.2218701880691332,1.0
12,41812.06286998537,4272.7852395383525,4001.878379799018,25785.123966942156,4512.755945786028,152127.73112400653,1.3244751396148606,1.0
1,50521.04604577366,3640.5036287384573,2836.0399078470655,37685.950413223145,4632.47704212344,161134.813435325,1.4028938244507083,1.0
2,34234.66430476084,5635.9109331953805,741.3211112661811,47603.30578512396,5046.127549170013,147614.63422772105,1.2851826017084709,1.0
3,18402.415459940712,5330.949716204632,4536.540600665263,33719.00826446282,4707.646987411945,128384.80355132636,1.1177612349286912,1.0
4,109428.15170655244,5223.691462824092,65.58978987694718,5950.413223140496,6103.78142327257,230916.8622844129,1.755773554783494,1.0
5,70536.60043113102,4281.017001251312,12403.806681731163,103140.49586776858,11430.82302762633,178759.35413966922,1.3591945757605006,1.0
6,3472.5583083264014,6317.851199139666,4991.0080520485935,47603.305785123965,4723.334323048794,131232.11548691394,0.9978217945228424,1.0
7,113962.68690249545,2716.072109624394,3806.7737521245435,6148.760330578512,5704.508582094438,232250.83183423628,1.7659163760365457,1.0
8,72369.31572824644,2522.3675164234883,1266.8377822878538,103140.49586776858,4844.237414538593,197890.94401431116,1.5046613867614544,1.0
9,46865.397340077136,1635.4940912918828,5614.717375678709,59504.13223140493,7351.713349382187,173921.27248921435,1.5142170330166405,1.0
10,112037.18631345622,5145.609999024746,176.41890696212067,59504.13223140493,5677.784543985737,225745.73311934253,1.9654181994404136,1.0
11,117553.89242762965,1978.437842833111,-3.3160023741074838,61487.603305785095,4817.004447686464,278976.7716387078,2.4288655055552324,1.0
12,69336.37675750497,1145.264572772081,7051.222375624871,89256.1983471075,7745.133305545057,245405.85894070737,2.13658586032449,1.0
1,89792.39883508955,1982.6121347383887,1364.637680647109,73388.42975206609,4719.5641030408015,257708.2383747813,2.2436945090774114,1.0
2,18585.359072725176,2588.3891360936104,6258.5526619385055,73388.42975206609,6227.593094563566,193007.4110750319,1.6803873681776447,1.0
3,26599.913627521248,2639.8886125363933,2588.807416439173,61487.603305785095,4653.081802864005,153517.72079000127,1.3365768566609848,1.0
4,47434.676119076175,3326.502650128008,4272.181498621154,23801.652892561982,5475.848281279037,170729.2168867433,1.2981375247920717,1.0
5,52060.87397217833,1745.0309806484147,697.3095076018944,41652.89256198347,4990.166566286616,177194.75320369806,1.3472981515669995,1.0
6,3154.4964622630587,4196.518728378578,-3.3820384952123277,47603.305785123965,5659.259109143371,131286.58553856757,0.9982359568983181,1.0
7,48206.23811123503,1543.3697476520028,3793.674207400065,6148.760330578512,7180.795412329681,163912.96344714632,1.2463102246393176,1.0
8,69668.70193763397,1723.475834516139,3.1944025391421746,35702.479338842975,5192.123708235453,194407.34376967888,1.4781738746566464,1.0
9,42110.2896403516,2617.0019872173725,2659.157522489928,59504.13223140493,4594.421630206546,172376.92401314646,1.5007714163079637,1.0
10,134853.5000046772,2495.1247448060312,933.1304859533266,57520.66115702477,5086.485668476748,246185.2714511748,2.1433716875105766,1.0
11,91913.56057013919,6966.357617078407,5712.320988709893,71404.95867768592,4823.227248715033,263124.68272328156,2.2908518934128694,1.0
12,71570.18619379296,7003.72157192952,3267.2756172889494,81322.31404958678,5372.092820863479,251736.90800126485,2.1917061005754612,1.0
1,51603.17424194926,6346.163551863283,5853.763542678527,75371.90082644626,4850.187214072976,223610.39421187964,1.9468272214728164,1.0
2,103171.27576791073,3339.144004428992,6247.979840733809,55537.19008264461,6132.376004326606,262203.2680565143,2.2828297477436164,1.0
3,76626.08689390554,4399.798653142876,1243.854705667647,81322.31404958678,5489.39902117353,255173.58582713478,2.2216269723954714,1.0
4,164507.26323644602,4749.774991501094,3045.9861168416683,126942.14876033056,5080.593918333112,289361.8952595765,2.2001596524078955,1.0
5,114658.3885321128,4754.949874554586,663.8435328058549,160661.15702479339,5805.835872730644,241644.39723591402,1.8373402363568072,1.0
6,108671.77841572845,6677.784775620414,-26.566379781230353,113057.85123966941,6248.046499967782,237714.62906740696,1.8074602918675373,1.0
7,35492.04057785258,5975.902293277351,1662.9497203037608,111074.38016528924,5932.9492867319395,160512.292766212,1.2204532664637904,1.0
8,51641.138757111265,3185.7399697193177,11060.553162641881,29752.066115702477,12671.290477666544,161855.2617370317,1.2306645147049682,1.0
9,97005.61020842752,4137.733427377825,1393.0372706711642,47603.30578512396,5415.8658995836895,208586.39641745822,1.8160232488551014,1.0
10,46887.58633291684,1981.308083980024,4541.399897128082,61487.603305785095,6640.849247347591,184785.4383840943,1.608804111480926,1.0
11,49244.033054586354,6053.610602791072,121.2939582412946,59504.13223140493,6094.7830683296115,174362.87278349587,1.518061753549189,1.0
12,108357.8894324803,3402.926768000063,2528.77925382994,59504.13223140493,5092.240280387945,218998.5372183534,1.9066748449780582,1.0
1,65976.61794409354,2122.794235719455,5280.392114536167,61487.603305785095,7046.259630172226,213283.69434767292,1.8569195028514374,1.0
2,104222.48326411041,6205.449598989566,4505.818243078102,55537.19008264461,4785.83370865878,258882.7851763914,2.253920508160896,1.0
3,51530.65905666361,6034.074965526845,3456.2113510415365,79338.8429752066,5532.015506320524,228120.4493660131,1.9860932769500548,1.0
4,49911.307608113966,1324.97382072435,1513.9545281478786,97190.08264462808,4962.784815421313,175689.90880665416,1.3358560854906836,1.0
5,110385.38207812457,3462.183814420685,2073.152460501442,47603.305785123965,5419.6876794599775,234441.32877411408,1.7825717928858125,1.0
6,60167.862024371476,4224.182892223122,7312.043319056509,105123.96694214875,7411.613893614075,178985.74953588934,1.3609159704030385,1.0
7,40596.17729000461,4869.867871580791,3886.9412056706205,47603.305785123965,5286.388510469563,167675.15919621062,1.2749160342747792,1.0
8,50762.29126229387,7030.869745492702,4663.282282417786,41652.89256198347,5719.30330055773,173432.84205903823,1.3186945059176671,1.0
9,84957.5946878616,3986.557515103137,2851.411652118928,59504.13223140493,5150.867163237609,194870.58321524152,1.6966087708259172,1.0
10,47743.3608268103,2449.234259736084,4062.260552093794,61487.603305785095,6227.607185843852,173285.70725806517,1.5086835885746506,1.0
11,20064.18176967501,2438.047544116387,2394.2491712464835,59504.13223140493,4885.843750984997,129003.71141822019,1.12314965476087,1.0
12,68444.88329715021,2198.7813797052077,4021.683007498068,15867.768595041325,6693.385817097026,173064.53867543917,1.5067580205852535,1.0
1,22400.289148279746,4129.5415625241585,1421.8777701168146,59504.13223140493,5683.699945578261,132984.65943914306,1.1578091257649652,1.0
2,90000.17726918029,2983.422042982129,1471.5943447092432,19834.710743801657,4985.590036799868,199676.36362599468,1.7384495097461743,1.0
3,19939.327178218362,5682.130216664227,-1.9317264450364746,61487.603305785095,6673.128397439408,157139.0210440978,1.3681051133712763,1.0
4,100974.28589641573,4640.470805354504,3540.737964135449,29752.066115702477,5326.407943046465,224134.56572298368,1.704204445341025,1.0
5,114734.98228166993,2196.5971275852353,5462.149343093624,95206.61157024793,8368.77546915408,232028.60874974323,1.7642267055154959,1.0
6,19526.896344717094,2235.015324425098,-8.73553914562217,103140.49586776858,5548.280386627904,145110.47970363454,1.1033457681049845,1.0
7,43839.95944047349,2438.9258880018606,4326.551251606317,17851.239669421488,7344.31407809963,161867.26003298248,1.230755743602349,1.0
8,115290.9556557707,3741.5365442745097,2339.269914600125,35702.479338842975,5593.168390915328,237264.8345886693,1.8040402850172688,1.0
9,38136.43923560186,5667.683331499313,3945.917497919494,67438.01652892558,5383.524650981868,204301.49847794353,1.7787174877375047,1.0
10,80542.57171306702,1931.543218956649,2967.231208807032,61487.603305785095,5975.109788096939,216345.66910727808,1.8835780838823961,1.0
11,66846.8835292026,2158.2165635409765,5544.74131971263,59504.13223140493,7637.516882622215,212664.37876628188,1.8515275333198606,1.0
12,115331.09236919403,8817.680497648777,5654.354701788747,61487.603305785095,5856.396796364028,263814.7968291868,2.296860258686022,1.0
1,4384.2556418842905,7620.786754711531,4512.2882214544225,81322.31404958678,5793.58238242507,184191.65457231633,1.6036344301138608,1.0
2,17236.47578088334,397.6850277709891,2854.7626727600873,55537.19008264461,6659.1800246245,136774.68260094145,1.1908063407978682,1.0
