mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,8980.043883774033,1239.9209927336778,852.543750915589,368.9595004132611,4719.5641030408015,116640.01479580413,1.0155071579646617,1.0,0.0
2,1858.7023203967335,1697.9430417053081,4065.0537322270975,1785.287905225457,6227.593094563566,108118.72542589006,0.9413179496952265,1.0,0.0
3,2660.2295381198064,1862.1598213868128,1826.337720511321,368.9595004132611,4653.081802864005,105792.7357616081,0.9210671021832016,1.0,0.0
4,4743.89234153583,2627.6187563620188,3374.614547782374,595.0959684084856,4654.471039087181,104540.06530422792,0.7948691154933148,0.85,15.0
5,5206.553549776589,1331.3356377445598,531.9980036479101,614.9325006887685,4241.641581343623,105689.38240606878,0.8036079341032228,0.85,15.000000000000014
6,315.47789155692124,3118.313285074866,-2.5802569851803128,595.0959684084856,4810.3702427718645,103720.2876285054,0.788635945903202,0.85,15.000000000000014
7,4821.055449310283,1344.8671997229685,3305.7457655425096,614.9325006887685,7180.795412329681,98784.73659897769,0.7511085436589435,1.0,0.0
8,6967.4940066423505,1240.6228038055124,2.3559564640163444,614.9325006887685,5192.123708235453,101183.44124403731,0.7693470652630728,1.0,0.0
9,4211.406019158673,1722.641420611064,1752.2041550881404,357.05758104509135,4594.421630206546,100413.80531746727,0.8742363265031599,1.0,0.0
10,13486.557477394017,1777.3780726419645,664.706511407654,368.9595004132611,5086.485668476748,109557.5891872056,0.9538451810361166,1.0,0.0
11,9192.179050140523,4376.259434468971,3568.7154408893693,357.05758104509135,4823.227248715033,114377.02740116559,0.9958048293798928,1.0,0.0
12,7157.6594581297695,4517.12412528944,2107.2638829587377,368.9595004132611,5372.092820863479,118203.49478034933,1.0291193400140182,1.0,0.0
1,5160.779478514753,4256.197510401413,3925.9583547155344,3372.2104876480844,4850.187214072976,115472.1157128289,1.0053390361531376,1.0,0.0
2,10318.051371389967,2356.2019121300837,4380.043100563897,793.4612912113141,6132.376004326606,116840.48860024715,1.0172525502620882,1.0,0.0
3,7663.294798626679,2837.696564379192,802.2372165460401,1983.6532280282856,5489.39902117353,119066.19049750516,1.03663025877934,1.0,0.0
4,16452.19932007821,3157.122565091573,2042.8591890630487,595.0959684084856,4318.504830583145,131719.0523946203,1.0015242133801792,0.85,15.0
5,11466.865503306044,3140.524430132704,438.4519053956319,595.0959684084856,5805.835872730644,139487.05858152427,1.0605881539752233,1.0,0.0
6,10868.150887618904,5068.912432521844,-20.16576713460381,8331.3435577188,6248.046499967782,140864.89761111306,1.0710645362842854,1.0,0.0
7,3549.521853171092,4643.884754862811,1309.5081170796475,9521.535494535772,5932.9492867319395,132294.31132079958,1.0058981876311142,1.0,0.0
8,5164.576269964852,2887.8550138249702,10069.476369629003,1190.1919368169713,12671.290477666544,116415.78382047689,0.8851659968410314,1.0,0.0
9,9701.429608132248,3463.338612064501,1181.267925922206,1586.9225824226285,5415.8658995836895,121396.49563274512,1.0569186782314535,1.0,0.0
10,4689.178464283278,1437.687571425704,3288.3256189417298,6149.325006887686,6640.849247347591,111444.8617952771,0.9702764104549609,1.0,0.0
11,4924.844236051235,4606.960958513635,88.91875053964031,357.05758104509135,6094.7830683296115,114435.90758992764,0.9963174600860433,1.0,0.0
12,10836.759178735188,2787.072174059518,2071.1260550666047,368.9595004132611,5092.240280387945,120527.41310685454,1.049352153763423,1.0,0.0
1,6598.25254840417,1534.5245664610557,3817.0875367752014,5752.594361282028,7046.259630172226,112044.24869349031,0.9754948741750774,1.0,0.0
2,10423.181533511623,4372.7331934268,3144.1044240021583,333.25374230875195,4785.83370865878,118576.97154545905,1.0323709542131967,1.0,0.0
3,5153.527310685924,3891.740315581046,2229.1199779357703,3768.941133253741,5532.015506320524,116092.16255421599,1.0107373722799315,1.0,0.0
4,4991.577666173854,921.8590332632302,1053.3435724485753,595.0959684084856,4218.367093108116,116138.7926196879,0.8830598976136218,0.85,15.0
5,11039.526597449028,2817.8844507671747,1697.9576491572952,614.9325006887685,4606.734527540981,123076.57899051707,0.935811271931345,0.85,15.0
6,6017.324944888004,2995.9708638789452,5286.091982936836,595.0959684084856,7411.613893614075,118797.07295432464,0.9032720998174072,1.0,0.0
7,4059.981226776729,3832.5034748004546,3058.9568485033524,614.9325006887685,5286.388510469563,117729.27979624014,0.8951531475226441,1.0,0.0
8,5076.6836512912,5758.437593006136,3819.331174366991,614.9325006887685,5719.30330055773,118410.83406492398,0.9003353371179237,1.0,0.0
9,8496.520178261968,3265.0786449810985,2335.3691143580218,3570.5758104509127,5150.867163237609,119115.62080012051,1.0370606156016888,1.0,0.0
10,4774.763576269112,1843.8751726454648,3058.221706252589,4364.037101662227,6227.607185843852,112084.39355527642,0.9758443888298094,1.0,0.0
11,2006.59783145575,1886.706843997963,1850.8350093635236,357.05758104509135,4885.843750984997,108883.9618893365,0.9479803554530263,1.0,0.0
12,6845.101184533781,1915.9821950806072,3504.4289112805855,368.9595004132611,6693.385817097026,107078.27104016002,0.9322594042372694,1.0,0.0
1,2240.229486798951,3150.5491367789946,1084.7925159294537,368.9595004132611,5683.699945578261,105331.597701817,0.9170522792997545,1.0,0.0
2,9000.823587629182,2599.7052583417535,1282.3232854651433,333.25374230875195,4985.590036799868,110330.95948321417,0.9605784026730382,1.0,0.0
3,1994.1112543632887,4038.6951970182854,-1.354676570816082,368.9595004132611,6673.128397439408,109323.0327133139,0.9518030535672461,1.0,0.0
4,10098.332712414547,3665.5278558183636,2796.844152691585,595.0959684084856,4527.446751589496,115167.50640885725,0.8756747347189264,0.85,14.999999999999986
5,11474.525564081445,1547.0504134267394,3819.0793104306213,614.9325006887685,7113.459148780968,116641.61142646508,0.8868830742974441,0.85,15.0
6,1952.8644781114933,1555.0262458597572,-6.077807384586777,595.0959684084856,5548.280386627904,114012.20360278455,0.8668904038796686,1.0,0.0
7,4384.388486617415,2154.898135783573,3822.698046022444,614.9325006887685,7344.31407809963,108769.5456003747,0.8270279175010521,1.0,0.0
8,11530.127879671702,2923.5501271880785,1847.7993707771093,614.9325006887685,5593.168390915328,115167.32334485327,0.875673342793998,1.0,0.0
9,3813.9853968658585,3907.6447408041568,2745.397405649317,396.73064560565706,5383.524650981868,114363.30078028644,0.9956853208065971,1.0,0.0
10,8054.978348709772,1454.137991157113,2233.842653339365,368.9595004132611,5975.109788096939,115294.50517830378,1.0037926991653041,1.0,0.0
11,6685.286899264654,1560.1306432671845,4008.1801743201213,595.0959684084855,7637.516882622215,111299.1296954848,0.9690076178305481,1.0,0.0
12,11534.141910397777,6206.278425479453,3919.5748610043665,368.9595004132611,5856.396796364028,118894.61887358037,1.035136498576169,1.0,0.0
1,438.46482077076763,4915.106825685609,2910.247898357644,4165.671778859398,5793.58238242507,111378.68846039464,0.9697002831683074,1.0,0.0
2,1723.8019133246855,291.5368274770153,2092.782968173211,333.25374230875195,6659.1800246245,104308.81046608988,0.9081475499855987,1.0,0.0
3,10102.267332968308,2843.7202906677703,6472.791590122695,368.9595004132611,10566.56253347375,99846.48446571625,0.8692970405572146,1.0,0.0
4,2382.7151206171316,4888.296495652903,1949.653509249314,595.0959684084856,3565.954451918625,101006.79215240985,0.7680039160426663,0.55,44.99999999999999
5,2067.9849573926144,4269.81684121328,3675.1262664503156,614.9325006887685,4708.467122220088,98346.06806165658,0.7477731327689613,0.85,15.0
6,6603.481150283348,1316.6308195422898,3321.478937589185,595.0959684084856,6891.99153805154,95457.613587433,0.7258108042933931,0.85,15.0
7,15198.521992663953,3450.5806444655173,1941.1791201810847,614.9325006887685,5103.670908325175,106446.93369536745,0.8093679661207397,0.85,15.0
8,4874.93845278966,1930.6129272392573,3259.330351492972,614.9325006887685,7224.134038705644,102154.08818450899,0.7767273674733662,1.0,0.0
9,5358.3221120228845,231.1284966860112,1807.204858177356,357.05758104509135,7167.953400152112,98411.32295384332,0.8568020422438676,1.0,0.0
10,2814.6364830272087,4056.0533749183232,2614.786845761191,368.9595004132611,5861.148557428438,96437.11790818596,0.8396139498155123,1.0,0.0
11,4679.408877545408,1803.2911727470491,2467.8085377600655,357.05758104509135,6008.587012023898,94086.36482764936,0.8191475036814686,1.0,0.0
12,6614.938981034868,3815.8897837098048,1515.342079474387,368.9595004132611,6134.350952229741,96498.54106027665,0.8401487204147964,1.0,0.0
1,4833.594663188255,3978.53768260614,-0.43842465900524985,368.9595004132611,6736.589572716485,98205.5627576003,0.8550106248432886,1.0,0.0
2,7603.926095746397,1778.889316093584,959.7152969412855,333.25374230875195,5138.5096685007375,101156.89946168952,0.880705953790334,1.0,0.0
3,4874.7641611277495,4109.530716857495,3720.0908493216702,368.9595004132611,5549.088375365655,100503.05561457419,0.8750133695764244,1.0,0.0
4,282.9335227003901,3756.5579791873606,-17.028850565315224,595.0959684084856,3920.228511003771,100044.251487615,0.7606852498009217,0.55,44.99999999999999
5,7184.6931555442525,3981.5603177053126,736.4004009834607,614.9325006887685,6000.8089118564785,103858.36314733585,0.7896858014318421,0.85,15.0
6,2213.2747366113385,1073.0990319411503,715.5764692457306,595.0959684084856,4590.81010012138,101243.25437811275,0.7698018537007791,0.85,14.999999999999986
7,5451.267786094996,1794.3169479005446,1973.0974806040176,614.9325006887685,5705.68864129157,100195.12048952392,0.7618323804225997,1.0,0.0
8,5136.618783378439,3867.3344734479906,1.7011746143980417,614.9325006887685,7241.241586756323,101341.19848429086,0.7705465705212537,1.0,0.0
9,2887.4279720136137,4160.660369273581,2595.1148404000414,357.05758104509135,5885.505341126838,99551.60906300606,0.8667297562278691,1.0,0.0
10,10911.282268559258,2523.4705751685105,2574.204435583568,368.9595004132611,5533.920686542866,104509.27728419413,0.9098928814576124,1.0,0.0
11,3179.3074943264737,3594.4756039027707,154.3777554606786,357.05758104509135,6552.879085597637,104218.74596031997,0.9073634181381532,1.0,0.0
12,5256.75260042054,1193.4045775090635,644.8181209477334,368.9595004132611,5676.2739699315725,103978.85154695701,0.9052748167747849,1.0,0.0
1,7707.903330638757,1433.1527363658824,2394.6798380254186,368.9595004132611,6622.87884665617,103733.38942886681,0.9031377411034027,1.0,0.0
2,11725.822399206078,3870.927724821304,933.8207499706914,333.25374230875195,5984.111040391591,112078.95402022316,0.9757970304100402,1.0,0.0
3,4840.6711403335175,4853.908852991226,1873.3512896184257,368.9595004132611,6762.041827246232,112769.18139627,0.9818063818511028,1.0,0.0
4,9737.582994120987,1972.9345112631854,3604.7214911084156,595.0959684084856,6657.354661546993,113622.52678059027,0.8639275008999889,0.85,15.0
5,2041.832089066239,1534.9552848160965,2230.5389929156227,614.9325006887685,5666.839076948592,108687.00358391964,0.8264003102825208,0.85,14.999999999999986
6,11194.569697328776,3172.8006554118037,3788.8308186165814,595.0959684084856,5367.602368195436,113302.84478143971,0.861496802706292,0.85,15.0
7,4996.6903352956415,2682.3194903587864,4351.718706854561,614.9325006887685,8041.0435892873675,107974.15981026345,0.8209802113166165,1.0,0.0
8,6979.159232382977,3552.612359453531,794.1080521388794,614.9325006887685,6861.0962889561,110235.79456031621,0.8381765236406216,1.0,0.0
9,7490.378506302266,2371.747496027223,1902.739427171895,357.05758104509135,5612.205256014482,112225.91829841422,0.9770765507935845,1.0,0.0
10,286.9608969116354,3021.3971741302666,5019.996796765365,368.9595004132611,7902.745576639461,102242.57449563805,0.8901582054050853,1.0,0.0
11,1936.4559343947105,3884.923521972436,2037.3185258439917,357.05758104509135,6142.438417053139,99527.13942806296,0.866516715364654,1.0,0.0
12,1978.7428775738233,1306.2383115206467,-3.398614494159119,368.9595004132611,6124.198920339956,96322.36081089838,0.838614835970004,1.0,0.0
1,11376.628553706389,4337.355520694473,2751.9388520432403,368.9595004132611,6244.205024839445,102671.24150800328,0.8938903244398977,1.0,0.0
2,8671.621512982705,1909.4000119183765,2495.6347364538087,333.25374230875195,5821.508032467073,104601.86652167473,0.9106989944675999,1.0,0.0
3,4888.128113059259,1228.4906173506315,1089.5076292740123,368.9595004132611,5743.270482322455,103516.7476400749,0.9012515849020546,1.0,0.0
4,401.4115267283027,886.4676945079846,1028.8973475660168,595.0959684084856,3161.3196514121564,100019.31389392454,0.7604956371104993,0.55,44.99999999999999
5,9115.98673097358,4037.161748418366,-17.939095630019438,614.9325006887685,6739.600865556135,105835.86810270161,0.8047217363165284,0.85,15.0
6,4807.093999551912,1415.0334985027148,1830.9019901684223,595.0959684084856,5252.930009953955,104379.06763222539,0.7936449716517291,0.85,15.0
7,5207.402444257485,1547.47154439101,4077.250596455895,614.9325006887685,9874.120859409788,96567.63766431944,0.7342508588658032,1.0,0.0
8,5154.74517362471,2607.2755170879245,6448.552356181652,614.9325006887685,12344.408027585898,84921.76547057576,0.6457016112366758,1.0,0.0
9,6757.919042874036,3075.182478272982,1551.0884233796241,357.05758104509135,6302.262496540374,86544.45849075768,0.7534851331543341,1.0,0.0
10,11386.23251080568,2484.9276768647396,2672.465280940436,368.9595004132611,6043.685153578231,91330.50874349618,0.7951540946899027,1.0,0.0
11,4650.097703054443,4317.657356072319,-0.762485293293139,357.05758104509135,7438.565468246691,92503.40323862445,0.8053657082380087,1.0,0.0
12,3055.532152724858,3211.591361929808,2574.8911805725074,368.9595004132611,6033.569458709693,89793.10661358366,0.7817689552047143,1.0,0.0
1,1060.7422438915737,803.3149513866229,3014.4216799396963,368.9595004132611,8985.791093698332,79287.99153481057,0.6903078937807035,1.0,0.0
2,2219.444276688107,486.85886960338394,792.7569409931457,333.25374230875195,4875.552982019862,75992.73101578031,0.66161824854796,0.85,15.0
3,4850.455635563068,1470.5807519819937,1227.6812146748998,368.9595004132611,5078.973974223797,75638.15271401341,0.6585311707202213,0.85,15.0
4,4562.7243259188035,1613.4241977612983,5771.307730665823,595.0959684084856,8169.286040334096,67278.61149828511,0.5115521045221448,0.55,44.99999999999999
5,13616.347705525199,3570.997283044373,1506.8080949915748,614.9325006887685,2960.2553959216757,79383.96049525267,0.6035949784380495,0.4,60.0
6,4980.158983532307,2804.1503460390813,1430.0524574705487,595.0959684084856,3587.69710998245,81555.42428896259,0.6201056769918427,0.55,44.99999999999999
7,9031.103042735253,4723.805067720314,487.27133766138286,614.9325006887685,4662.343033337159,89545.78552773084,0.6808602915202394,0.55,44.99999999999999
8,528.412958015964,1729.7613974220294,163.1327199007792,614.9325006887685,5770.600245545232,85255.29441703406,0.6482375945258694,0.85,15.0
9,9207.637960867642,3070.622262951685,-6.999735067089205,357.05758104509135,7246.694282832912,89936.80251204246,0.7830200199761869,1.0,0.0
