mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
11,170078.42477037213,1226.3067218168871,5723.4446183262335,59504.13223140493,7530.179596663236,291743.69229855604,2.540018606298059,1.0
12,114224.0990880558,6446.434865591931,3596.133581130649,95206.61157024802,5012.5902394701325,308598.89086135494,2.686765628059014,1.0
1,70792.8666418085,3769.5669923414825,955.1530058297794,105123.96694214879,5022.599102210815,272059.6054453155,2.3686423326199546,1.0
2,43931.7485470376,6358.274518491351,5510.359977937071,79338.84297520663,4303.615956691034,233196.8096010097,2.030289774730606,1.0
3,50286.78669390637,5545.674341952632,1860.2057623740693,67438.01652892558,5479.532159486689,214251.5161860823,1.8653456849490635,1.0
4,46669.42001814464,4286.243775015231,-4.05073127761716,83305.78512396694,5657.439686531283,176248.00590002156,1.340099569954495,1.0
5,71909.10873084393,2825.8455209913955,2879.789734464808,47603.305785123965,4708.6612683606745,195791.20336390744,1.4886960342557463,1.0
6,112335.53135767973,6591.585092436551,2629.149395783432,65454.54545454545,5524.983492650895,241109.6414710439,1.83327422740043,1.0
7,5394.173088310681,1218.7493886466837,2922.9294446522545,113057.85123966941,6023.977290371465,125717.80597330813,0.9558938091817144,1.0
8,9070.994347757442,4038.856044938133,-17.83315547677921,6148.760330578512,5998.184415461405,126698.54477544059,0.963350844739444,1.0
9,33358.39340031701,7998.30187871799,2110.053928929061,11900.826446280993,6201.965968991369,147842.39371027416,1.2871655522870689,1.0
10,63556.06373509922,4327.098657889233,4885.792197927221,33719.00826446282,5148.899020997962,171971.85661987463,1.4972447634860675,1.0
11,67546.09528012513,2166.546194057795,4968.5884616244875,57520.66115702477,6757.665520343911,172437.5829550644,1.5012995334367216,1.0
12,8826.314645594857,3085.7599646658055,1263.8841443312413,59504.13223140493,5124.877918762133,118456.76327082675,1.031324380586218,1.0
1,65312.38057773211,1505.8750061124738,1055.5992669586121,3966.9421487603304,4870.4526937144365,175382.02474523796,1.5269348329466381,1.0
