mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,229.3325179156435,820.5963005951198,2089.593770495412,6149.325006887686,5270.733034330449,119058.86700679721,1.0365664980086626,1.0,0.0
2,10057.238739486613,3665.321769180591,40.99338768530288,4364.037101662227,4756.996292574832,123619.40073354208,1.076272036899037,1.0,0.0
3,3646.024685322256,2039.8750450700318,5158.739812703134,6149.325006887686,7498.984806880201,110498.25083746335,0.962034897410312,1.0,0.0
4,6917.994679209563,2531.5545262130618,713.6938686916255,595.0959684084856,4152.307075713869,114486.703130072,0.8704982552662099,0.85,14.999999999999986
5,4842.6707622245085,2978.5946861062985,1068.4066248805902,614.9325006887685,4273.3235298384525,116351.305922995,0.8846757399314804,0.85,15.0
6,7122.773940938851,2853.06887999663,14.750844657901325,595.0959684084856,5118.608698577836,120598.69323228626,0.9169706976959399,1.0,0.0
7,5043.930102133827,2056.931211356801,1810.0597451657668,614.9325006887685,4464.281667061145,120810.2806328612,0.9185794999236322,1.0,0.0
8,11267.183509575441,3853.501256179574,-12.869328808301361,614.9325006887685,5628.066306912524,129700.83591982322,0.9861787289524867,1.0,0.0
9,11074.8534883955,3864.5100777325715,2416.6409844258887,5950.959684084857,4640.901001531984,131631.69781590853,1.146029787299933,1.0,0.0
10,7581.709181928634,5300.442754054471,4050.354008768598,6149.325006887686,4724.293955410667,129589.87678082466,1.1282530073497552,1.0,0.0
11,3786.293788477736,1339.2547282388696,3917.3507832932373,5950.959684084857,6412.246814844877,118434.86801531828,1.0311337531353106,1.0,0.0
12,12603.825092356548,3985.2888030327013,1919.5613363669545,3768.941133253741,4937.241442807155,124398.2379982797,1.0830528558025265,1.0,0.0
1,13658.457940330301,2676.6250999328186,3128.1088931629347,6149.325006887686,4806.615340303557,126649.27179818867,1.102651112375366,1.0,0.0
2,1605.1524311271194,5312.28163819875,4385.875457128306,5554.2290384791995,4248.773424151558,119377.82794775548,1.0393434791263458,1.0,0.0
3,2003.7093406174808,1607.7517074692878,502.4611056725262,4562.402424465055,4834.219075476126,113090.20639022854,0.984601333307695,1.0,0.0
