step,mo,inflow,precip,evap,released,supplied,storage,% full,% redu,deficit
64,5,8027.89727088834,1413.999969182114,2020.1134712226485,614.9325006887685,5962.853904234211,117566.34132000626,0.8939142467996826,1.0,0.0
65,6,813.1333893172492,1407.1227404251258,1614.6563823915349,595.0959684084856,5204.967673278238,112371.87742567039,0.8544182037358399,1.0,0.0
66,7,7272.418194771532,4386.173582716074,4016.0459279610077,614.9325006887685,5270.758921618338,114128.73185288988,0.8677764250125392,1.0,0.0
67,8,6926.807973196545,1934.3266442687454,3762.7639682692243,614.9325006887685,7501.943298913892,111110.22670248328,0.8448252578018308,1.0,0.0
68,9,4285.127583710982,3154.7989275535074,1702.3573980613437,357.05758104509135,5486.917869276663,111003.82036536468,0.9664365555833792,1.0,0.0
69,10,860.2588109072706,4421.036466183577,970.4728356046544,368.9595004132611,6282.940884879479,108662.74242155813,0.946054344440396,1.0,0.0
70,11,9802.129944018841,6745.729712555534,223.8196063227806,357.05758104509135,7166.07590132381,117463.64898944082,1.0226779939821877,1.0,0.0
71,12,5847.4045840913095,5055.865835859397,1095.1937773488607,368.9595004132611,6324.431789810852,120578.33434181854,1.0497954911437282,1.0,0.0
72,1,6137.50145584377,1260.149832504525,1052.7950491630909,368.9595004132611,5257.2052384004755,121297.02584219,1.056052660814645,1.0,0.0
73,2,10132.369057552967,388.81322164306766,3621.159579658837,333.25374230875195,7931.5292526598205,119932.26554675863,1.0441705991453045,1.0,0.0
74,3,765.6232329169688,1358.3968116891192,808.6081952374807,368.9595004132611,5432.275089950801,115446.44280576319,1.0051155191985433,1.0,0.0
75,4,4712.092283505794,4783.4423569324135,-0.11001388658769429,595.0959684084856,7148.874502790894,117198.11698888862,0.8911144575750746,1.0,0.0
76,5,5137.7343721085535,2838.4490931037,2879.8778099510528,614.9325006887685,5307.265871572491,116372.22427188855,0.8848347923429575,1.0,0.0
77,6,9880.335881533625,1512.0656484786305,3756.320864341833,595.0959684084856,7998.055429896807,115415.15353925369,0.8775577166638853,1.0,0.0
78,7,682.6231849689233,4932.853451207455,-6.536333483425551,614.9325006887685,7321.215693526023,113101.0183146987,0.8599622176203281,1.0,0.0
79,8,4311.4063894643805,1866.8977764923475,2777.4986489975417,614.9325006887685,6505.54974955166,109381.34158141745,0.8316797008044069,1.0,0.0
80,9,704.7068894228961,995.8393320117175,2049.8992434578686,357.05758104509135,6451.184219871915,102223.7467584772,0.8899942847995487,1.0,0.0
81,10,695.0904178950364,4547.4760802955425,703.3178349784284,368.9595004132611,6653.808803015573,99740.2271182605,0.8683719283895203,1.0,0.0
82,11,708.2161169980048,2473.5507774478465,3713.901158605484,357.05758104509135,6663.0017579708965,92188.03351508488,0.8026199934657632,1.0,0.0
83,12,4849.639486751688,2217.072792513034,919.2473833169497,368.9595004132611,5777.451501730813,92189.08740888859,0.8026291690193095,1.0,0.0
