mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,7294.539619100622,4015.6208404498175,-4.03300927800592,16865.0197446965,5207.391575656634,120760.37214847532,1.0513803734502314,1.0,0.0
2,3576.7714750610835,2533.6257754840044,377.37053527130047,6224.70382955276,4420.4567189823565,115848.238315214,1.0086136859005939,1.0,0.0
3,10273.879805002045,4090.391719994601,4209.686895879277,1547.2495178620632,4474.280351054627,119981.29307541468,1.044597449282238,1.0,0.0
4,10240.110378650066,7587.6849967564485,1.8410776307573542,595.0959684084856,6801.368857750807,130410.78254703112,0.9915767995005963,1.0,0.0
5,8188.192874525425,1723.7532732379623,228.18395655804488,614.9325006887685,4858.98311384988,134620.6291236978,1.0235863167609827,1.0,0.0
6,4980.411049100027,1845.2733430239896,3697.706707528152,4106.162182018552,6005.484226694337,127636.9603995808,0.9704860765278946,1.0,0.0
7,4292.113196265568,6834.209514176531,-2.1873360234021675,614.9325006887685,6514.461867704358,131636.07607765318,1.0008933039629848,1.0,0.0
8,6892.1364335625585,1583.0836178469472,882.8704782745335,1785.2879052254577,4614.90044387742,132828.23730168527,1.0099578873350548,1.0,0.0
9,6230.823328510114,3966.895615008456,1476.3533058323083,19209.697860225933,4922.631368114622,117417.27371103095,1.0222742352270102,1.0,0.0
10,6973.204597930566,4355.024909084648,764.5308819681377,3903.8295527596665,5367.177194549899,118709.96558876848,1.033528845038089,1.0,0.0
11,47.53131585987996,1834.0348696823057,2.118082753571798,5070.217650840298,4777.746955509437,110741.44908520735,0.9641522630658365,1.0,0.0
12,4181.580671802452,3566.3486912029766,3326.9905828261835,368.9595004132611,4512.755945786028,110280.6724191873,0.9601405865979827,1.0,0.0
1,5052.556969531859,2875.649480425942,2240.2001259078097,368.9595004132611,4632.47704212344,110967.2422007006,0.9661180937921439,1.0,0.0
2,3423.772967327008,4518.998028063783,585.5727354900155,333.25374230875195,5046.127549170013,112945.05916912261,0.9833376328336356,1.0,0.0
3,1840.4063210429595,4584.753035721369,3911.1098906281404,368.9595004132611,4707.646987411945,110382.5021474336,0.9610271504252313,1.0,0.0
4,10943.794989260387,4651.267140653654,57.153872023613076,595.0959684084856,6103.78142327257,119221.53301364298,0.9064994767176487,1.0,0.0
5,7054.291627146718,2978.545034195675,8765.13406995291,614.9325006887685,11430.82302762633,108443.48007671737,0.824548682256382,1.0,0.0
6,347.28692408592894,4631.5203400882165,3658.8318689358857,595.0959684084856,4723.334323048794,104445.02518049836,0.7941464790680797,1.0,0.0
7,11397.28911103869,2366.7408913986874,3317.1604949410685,614.9325006887685,5704.508582094438,108572.45360521146,0.8255293309121658,1.0,0.0
8,7237.579566973189,1634.761445401804,821.0451294580271,614.9325006887685,4844.237414538593,111164.57957290106,0.8452385291912046,1.0,0.0
9,4686.959366319282,1146.9354438773153,4049.2342146530864,357.05758104509135,7351.713349382187,105240.46923801728,0.916258884276229,1.0,0.0
10,11204.721811221238,3911.773890731434,134.5951909252035,368.9595004132611,5677.784543985737,114175.62570464576,0.9940513585422891,1.0,0.0
11,11756.441819171423,1376.5108175263158,-2.3071299183066003,357.05758104509135,4817.004447686464,122136.82344253024,1.0633642208815743,1.0,0.0
12,6934.258512993023,707.5916095772409,4446.472677138969,8616.989622554851,7745.133305545057,108970.07795986164,0.9487301108966205,1.0,0.0
1,8980.043883774033,1238.61711421996,852.5437509156909,368.9595004132611,4719.5641030408015,113247.67160348588,0.9859722783600701,1.0,0.0
2,1858.7023203967335,1673.3623448378057,4040.473035359566,333.25374230875195,6227.593094563566,106178.41639648855,0.9244249673729062,1.0,0.0
3,2660.2295381198064,1862.159821386973,1826.3377205114957,368.9595004132611,4653.081802864005,103852.42673220657,0.9041741198608811,1.0,0.0
4,4743.89234153583,2627.618756361684,3374.6145477822574,595.0959684084856,5475.848281279037,101778.37903263432,0.7738706675051361,1.0,0.0
5,5206.553549776589,1260.9834949551005,496.7217095003725,614.9325006887685,4990.166566286616,102144.09530089024,0.7766513867042693,1.0,0.0
6,315.47789155692124,3073.93366252548,-2.409162537805969,595.0959684084856,5659.259109143371,99281.5609399586,0.7548861414949674,1.0,0.0
7,4821.055449310283,1255.6903031906259,3086.5448301966244,614.9325006887685,7180.795412329681,94476.03394924443,0.7183473754489341,1.0,0.0
8,6967.4940066423505,1240.6228038055851,2.3559564641327597,614.9325006887685,5192.123708235453,96874.73859430401,0.7365858970530631,1.0,0.0
