observedStorage,observedOutflow,observedWaterSupply,elevationEnd,observedInflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,inflow,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
127607.20334704543,0.0,0.0,0.0,2293.1133470454306,108452.1727920538,13884.297520661159,5270.733034330449,5270.733034330449,249.51558705188697,9.320377664894922E8,2.047724926121835E8,124159.0,330329.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
228170.30097292273,0.0,0.0,0.0,100563.0976258773,148721.0840427119,55537.19008264461,4756.996292574832,4756.996292574832,252.836558383522,8.418405632805606E8,1.8416514649160865E8,124159.0,330329.0,0.9986666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
264627.1800302789,0.0,0.0,0.0,36456.879057356164,116191.374987403,61487.603305785095,7498.984806880201,7498.984806880201,250.2147910912649,9.347386868494462E8,6.8266876023247E8,124666.0,331647.0,0.9973333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
333800.73674115044,0.0,0.0,0.0,69173.5567108715,120975.73231897113,59504.13223140493,4885.06714789867,4885.06714789867,250.62695144029732,9.071367584116861E8,1.4649172437458545E8,125174.0,332933.0,0.996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
382222.97123773594,0.0,0.0,0.0,48422.23449658551,122717.6348067044,41652.89256198347,5027.439446868768,5027.439446868768,250.77701195784843,9.399993150510509E8,1.4433652647261173E8,125681.0,334209.0,0.9946666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
453444.131413382,0.0,0.0,0.0,71221.16017564604,123365.64082922715,65454.54545454545,5118.608698577836,5118.608698577836,250.83283604662537,9.122485338449343E8,1.9175101289133376E8,126189.0,335503.0,0.9933333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
503878.77340785833,0.0,0.0,0.0,50434.64199447629,121732.69537151832,47603.305785123965,4464.281667061145,4464.281667061145,250.69216190312872,9.452080860466942E8,1.7663902648765586E7,126696.0,336748.0,0.992,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
616540.2011209633,0.0,0.0,0.0,112661.42771310497,123642.08983556206,105123.96694214875,5628.066306912524,5628.066306912524,250.85665143311184,9.478890879377724E8,2.6599206956674647E8,127204.0,338053.0,0.9906666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
727278.5062755505,0.0,0.0,0.0,110738.30515458719,124615.52704646855,105123.96694214875,4640.901001531984,4640.901001531984,250.94051060014374,9.198925094409007E8,8.107335918818618E7,127711.0,339350.0,0.9893333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
803088.5949472865,0.0,0.0,0.0,75810.0886717361,134213.71845700918,61487.603305785095,4724.293955410667,4724.293955410667,251.7171914301724,9.531526926031994E8,6.5799661946104E7,128219.0,340617.0,0.988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
840948.0354710555,0.0,0.0,0.0,37859.440523769044,108140.2510089087,57520.66115702477,6412.246814844877,6412.246814844877,249.48674012844805,9.250495742812474E8,4.579663962735889E8,128726.0,341950.0,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
966974.6443697555,0.0,0.0,0.0,126026.60889869997,161791.60193587613,67438.01652892558,4937.241442807155,4937.241442807155,253.797553651536,9.585395684115247E8,1.063420500086999E8,129234.0,343244.0,0.9853333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1103546.607594573,0.0,0.0,0.0,136571.96322481747,194383.39610138198,99173.55371900833,4806.615340303557,4806.615340303557,256.0570858098049,9.612399532184094E8,7.54677674777779E7,129741.0,344562.0,0.984,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1119596.6492428924,0.0,0.0,0.0,16050.04164831934,150647.47424290542,55537.19008264461,4248.773424151558,4248.773424151558,252.98318573929862,8.70632479225733E8,4.5757932831922926E7,130249.0,345865.0,0.9826666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1139631.8918431574,0.0,0.0,0.0,20035.242600265028,108327.83661066966,57520.66115702477,4834.219075476126,4834.219075476126,249.50408828360952,9.666195400262086E8,7.604185146433608E7,130756.0,347184.0,0.9813333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1233191.6936293992,0.0,0.0,0.0,93559.8017862419,135719.34798154945,59504.13223140493,6664.158183957447,6664.158183957447,251.83852510126115,9.380176722571952E8,4.9933142936807126E8,131264.0,348483.0,0.98,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1365378.6570302038,0.0,0.0,0.0,132186.96340080464,125116.9170035925,136859.5041322314,5929.890246530291,5929.890246530291,250.98370408370025,9.720150119503787E8,3.0696459557149214E8,131771.0,349813.0,0.9786666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1385329.4743560986,0.0,0.0,0.0,19950.817325894757,121611.7354751802,17851.239669421488,5604.759184885566,5604.759184885566,250.6817415123346,9.432827886534534E8,2.6557140670750734E8,132279.0,351133.0,0.9773333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1561906.1061739922,0.0,0.0,0.0,176576.63181789365,124759.74575367532,168595.04132231406,4833.580217084503,4833.580217084503,250.9529346789865,9.773801821060208E8,6.514341815772503E7,132786.0,352430.0,0.976,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1647988.1942489098,0.0,0.0,0.0,86082.08807491772,122581.35171245258,83305.78512396694,4954.696992173513,4954.696992173513,250.76527151209964,9.799740780121455E8,8.86724147537902E7,133294.0,353699.0,0.9746666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1697457.3839258335,0.0,0.0,0.0,49469.18967692372,125753.44064154588,41652.89256198347,4644.208185846965,4644.208185846965,251.03540580558834,9.50888308245888E8,5.079086553916075E7,133801.0,354969.0,0.9733333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1759268.3096604317,0.0,0.0,0.0,61810.92573459809,121252.40817162326,61487.603305785095,4824.354898735845,4824.354898735845,250.65078636902336,9.852310169668859E8,5.530283415178467E7,134309.0,356260.0,0.972,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1929346.251858864,0.0,0.0,0.0,170077.94219843237,190577.0302775248,93223.14049586785,7530.179596663236,7530.179596663236,255.80206984932371,9.559453324828393E8,6.681903166967543E8,134816.0,357515.0,0.9706666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2043570.0268532252,0.0,0.0,0.0,114223.77499436113,196647.71916464742,103140.49586776864,5012.5902394701325,5012.5902394701325,256.2039385929468,9.905204585480924E8,9.061265363781156E7,135324.0,358836.0,0.9693333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2114362.692630926,0.0,0.0,0.0,70792.66577770111,179112.0007161709,83305.78512396695,5022.599102210815,5022.599102210815,255.0247797095709,9.932442212392513E8,9.004763770430717E7,135831.0,360160.0,0.968,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2158294.3165282374,0.0,0.0,0.0,43931.6238973112,163202.81857414672,55537.19008264461,4303.615956691034,4303.615956691034,253.90064493930504,8.994839915412645E8,2.8735051035925753E7,136339.0,361434.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2208580.9605409526,0.0,0.0,0.0,50286.64401271543,146522.32712159064,61487.603305785095,5479.532159486689,5479.532159486689,252.66919981135564,9.985852434835074E8,1.8325954611374325E8,136846.0,362763.0,0.9653333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2255250.24814164,0.0,0.0,0.0,46669.28760068736,128030.04280434205,59504.13223140493,5657.439686531283,5657.439686531283,251.21886959499895,9.689839409189266E8,2.5123257052518272E8,137354.0,364076.0,0.964,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2327159.1528412076,0.0,0.0,0.0,71908.90469956756,123825.327557863,71404.95867768595,4708.6612683606745,4708.6612683606745,250.87243690195237,1.0039207516471024E9,1.1659889916565653E7,137861.0,365363.0,0.9626666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2439494.3654637192,0.0,0.0,0.0,112335.21262251184,125511.58974557523,105123.96694214875,5524.983492650895,5524.983492650895,251.01591584701228,9.741612530992645E8,2.1748664007022196E8,138369.0,366685.0,0.9613333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2444888.5232468755,0.0,0.0,0.0,5394.157783156166,118733.00990778141,6148.760330578512,6023.977290371465,6023.977290371465,250.43374654615621,1.0093300200206856E9,2.899426123989155E8,138876.0,368000.0,0.96,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2453959.4918570514,0.0,0.0,0.0,9070.968610175829,115657.03377191731,6148.760330578512,5998.184415461405,5998.184415461405,250.16875893968964,1.0119816763892417E9,2.817278579538359E8,139384.0,369290.0,0.9586666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2487317.7906079465,0.0,0.0,0.0,33358.29875089494,124962.12688439939,17851.239669421488,6201.965968991369,6201.965968991369,250.97036930430733,9.818999394625202E8,3.557619178605171E8,139891.0,370587.0,0.9573333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2550873.6740122777,0.0,0.0,0.0,63555.883404331194,121881.50796194776,61487.603305785095,5148.899020997962,5148.899020997962,250.70498173345518,1.0172501809148374E9,9.328248921532544E7,140399.0,371864.0,0.956,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2618419.577640521,0.0,0.0,0.0,67545.90362824294,123165.61383844214,59504.13223140493,6757.665520343911,6757.665520343911,250.81560422453842,9.869567164292079E8,4.70560376746537E8,140906.0,373132.0,0.9546666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2627245.867242776,0.0,0.0,0.0,8826.289602255085,109015.78585251357,17851.23966942149,5124.877918762133,5124.877918762133,249.56771070493974,1.0224761374616185E9,8.287557675987461E7,141414.0,374407.0,0.9533333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2692558.062506455,0.0,0.0,0.0,65312.195263679314,109953.39619107365,59504.13223140493,4870.4526937144365,4870.4526937144365,249.65442210219862,1.0252052050965437E9,2.5271180754906505E7,141921.0,375736.0,0.952,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2756484.8413982345,0.0,0.0,0.0,63926.77889177941,113036.60251311473,55537.19008264461,5306.382487093883,5306.382487093883,249.93956094637147,9.284229812775404E8,2.160762773197004E8,142429.0,377049.0,0.9506666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2778951.751266687,0.0,0.0,0.0,22466.909868452858,106392.12044808567,21818.181818181823,7293.210115300088,7293.210115300088,249.32507078961302,1.0305561864171124E9,5.424690506543276E8,142936.0,378346.0,0.9493333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2888661.0718902005,0.0,0.0,0.0,109709.3206235135,150209.14404272163,59504.13223140493,6388.164797472875,6388.164797472875,252.94982219841083,9.999079538969722E8,3.77913922357643E8,143443.0,379654.0,0.948,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2959181.920934173,0.0,0.0,0.0,70520.84904397243,126554.05906598482,89256.19834710743,4919.735673601793,4919.735673601793,251.09992497912683,1.0358938636271176E9,2.521204885170185E7,143951.0,380946.0,0.9466666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3008977.6341216806,0.0,0.0,0.0,49795.713187507856,123840.5677661188,47603.305785123965,4905.898702249914,4905.898702249914,250.87374980755675,1.0050225101549435E9,5.309899562214871E7,144458.0,382225.0,0.9453333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3015365.865098387,0.0,0.0,0.0,6388.230976706226,118870.39208195999,6148.760330578512,5209.646330286511,5209.646330286511,250.44558167487594,1.0412157300010382E9,8.241913368639937E7,144966.0,383541.0,0.944,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3129970.0616463935,0.0,0.0,0.0,114604.1965480065,122677.49733185575,105123.96694214875,5673.124355962024,5673.124355962024,250.77355421535628,1.043912145283419E9,1.7968729088986656E8,145473.0,384853.0,0.9426666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3229630.52568108,0.0,0.0,0.0,99660.4640346865,120149.89597829351,95206.61157024793,6981.453818000833,6981.453818000833,250.55580771694466,1.0128761692516885E9,4.929083719211376E8,145981.0,386180.0,0.9413333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3346496.2997132814,0.0,0.0,0.0,116865.77403220143,161866.81206291873,69421.48760330575,5727.370344270656,5727.370344270656,253.8030478532339,1.0493244438264846E9,1.8597495810379082E8,146488.0,387487.0,0.94,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3439286.0003655707,0.0,0.0,0.0,92789.70065228926,172743.32833831006,75371.90082644626,6541.283550451809,6541.283550451809,254.57684317634306,1.0180230163512198E9,3.928240516782877E8,146996.0,388772.0,0.9386666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3441997.2299380433,0.0,0.0,0.0,2711.229572472524,108735.76842770346,61487.603305785095,5231.186177294177,5231.186177294177,249.54181433715928,1.05453301542102E9,7.374763831284478E7,147503.0,390025.0,0.9373333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3489637.54651315,0.0,0.0,0.0,47640.31657510679,109397.28692120395,41652.89256198347,5325.905519622924,5325.905519622924,249.6029924092485,1.0571872894106278E9,9.152276558438505E7,148011.0,391316.0,0.9359999999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3591639.5077004074,0.0,0.0,0.0,102001.96118725736,150896.20662197657,55537.19008264461,4965.851403840408,4965.851403840408,253.0016302594767,9.572461419218544E8,1.1380617362744172E8,148518.0,392591.0,0.9346666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3653518.8881170466,0.0,0.0,0.0,61879.38041663936,145839.8120280442,61487.603305785095,5448.171704786902,5448.171704786902,252.61725011630722,1.0624876253022407E9,1.1259323100801069E8,149026.0,393899.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3737923.9297353844,0.0,0.0,0.0,84405.04161833803,161292.86568056545,63471.07438016526,5480.9135856517505,5480.9135856517505,253.76112029224672,1.0307489444422988E9,1.513937960135845E8,149533.0,395177.0,0.9319999999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3857286.877938389,0.0,0.0,0.0,119362.94820300453,122799.69982938572,152727.27272727274,5128.841326911566,5128.841326911566,250.7840816531173,1.0677781192753521E9,3.842843677182315E7,150041.0,396479.0,0.9306666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3891221.76669381,0.0,0.0,0.0,33934.88875542138,118081.34425487547,29752.066115702477,8901.178214229141,8901.178214229141,250.37760718942758,1.0359600090338511E9,8.838774492725374E8,150548.0,397801.0,0.9293333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3937715.5626004427,0.0,0.0,0.0,46493.79590663265,122669.35453839264,35702.479338842975,6203.306284272511,6203.306284272511,250.7728527341827,1.0732476148166941E9,2.6470332642631423E8,151056.0,399147.0,0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3938687.0967583214,0.0,0.0,0.0,971.5341578785741,111469.93227993514,6148.760330578512,6022.196085757562,6022.196085757562,249.79467328955286,1.0758382244370365E9,2.2305023149948436E8,151563.0,400409.0,0.9266666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4007287.495878682,0.0,0.0,0.0,68600.3991203607,121636.17092960724,53553.71900826446,4880.441462424145,4880.441462424145,250.68384656526595,1.0437717840776995E9,8859014.578650469,152071.0,401738.0,0.9253333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4020307.5944778146,0.0,0.0,0.0,13020.098599132816,109220.10435780382,19834.710743801657,5601.454427134544,5601.454427134544,249.58660634031295,1.0811116401860828E9,1.2702977338894261E8,152578.0,402981.0,0.924,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4074086.8579280376,0.0,0.0,0.0,53779.26345022308,107322.24121815362,49586.77685950412,6090.349730369267,6090.349730369267,249.41108954204694,1.0489023232852683E9,2.646857506891628E8,153086.0,404324.0,0.9226666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4126679.1709796307,0.0,0.0,0.0,52592.31305159286,108751.80012346797,45619.834710743795,5542.919435534797,5542.919435534797,249.5432969687846,1.0865155302503254E9,1.0900085023426844E8,153593.0,405620.0,0.9213333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4172953.294857092,0.0,0.0,0.0,46274.12387746172,108314.2601419733,41652.89256198347,5058.771296973011,5058.771296973011,249.50283271450783,1.089145823873433E9,1947781.397922338,154101.0,406900.0,0.92,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4220433.298340657,0.0,0.0,0.0,47480.003483564804,108428.44649474075,41652.89256198347,5712.924568813956,5712.924568813956,249.51339281371875,9.861377293444246E8,2.4604595687264076E8,154608.0,408193.0,0.9186666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4335962.862044489,0.0,0.0,0.0,115529.56370383195,157125.58210399878,61487.603305785095,5344.824788789124,5344.824788789124,253.45669457988157,1.094424601556946E9,5.836602802494253E7,155116.0,409475.0,0.9173333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4385330.923297448,0.0,0.0,0.0,49368.061252958665,141001.73425846524,59504.13223140493,5987.776867087541,5987.776867087541,252.24899941075242,1.0616851563676125E9,2.2977964129543838E8,155623.0,410767.0,0.916,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4465602.4807193875,0.0,0.0,0.0,80271.5574219399,120103.82620592302,95206.61157024793,5962.853904234211,5962.853904234211,250.55183892194376,1.099753885411939E9,1.863354398680085E8,156131.0,412073.0,0.9146666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4473733.063529531,0.0,0.0,0.0,8130.582810142695,117079.02811964697,5950.413223140496,5204.967673278238,5204.967673278238,250.29126017571045,1.0666772610745323E9,5.59484933966609E7,156638.0,413281.0,0.9133333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4546450.52801863,0.0,0.0,0.0,72717.46448909973,125021.6014557234,59504.132231404954,5270.758921618338,5270.758921618338,250.9754928890182,1.1048582959550486E9,3.1957546610666383E7,157146.0,414559.0,0.912,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
